 ,Name,Year,Races,WatersideA,WatersideB,WatersideC,WatersideD,DWSenior,DWJunior,DWEndeavour,DWVetJunior,DWSingles
1996 - Belcher M D & Potter A J,Belcher M D & Potter A J,1996,1,0,0,0,0,25.2,0,0,0,0
1996 - Bell C J & Mackay,Bell C J & Mackay,1996,4,2.38,3.03,4.35,6.92,0,0,0,0,0
1996 - Bell Roger & Stanway,Bell Roger & Stanway,1996,2,2.13,2.75,0,0,0,0,0,0,0
1996 - Bell Susan Margaret & Mackay D J,Bell Susan Margaret & Mackay D J,1996,1,0,0,0,0,26.2,0,0,0,0
1996 - Beltcher,Beltcher,1996,1,0,0,3.28,0,0,0,0,0,0
1996 - Benton & White,Benton & White,1996,1,2.8,0,0,0,0,0,0,0,0
1996 - Bernays Annie Fiona & Bousfield Victoria Lucy,Bernays Annie Fiona & Bousfield Victoria Lucy,1996,1,0,0,0,0,0,27.88,0,0,0
1996 - Bishop Sophie Elizabeth & Oxby C R,Bishop Sophie Elizabeth & Oxby C R,1996,3,0,0,4.4,7.43,0,21.57,0,0,0
1996 - Blackwell,Blackwell,1996,3,2.18,2.83,3.93,0,0,0,0,0,0
1996 - Blackwell Stephen,Blackwell Stephen,1996,1,0,0,0,0,0,0,0,0,19.68
1996 - Blatchly A Mark & Rinvolucri Martin,Blatchly A Mark & Rinvolucri Martin,1996,1,0,2.78,0,0,0,0,0,0,0
1996 - Bloggs & Sykes Jason,Bloggs & Sykes Jason,1996,2,0,3.07,4.23,0,0,0,0,0,0
1996 - Blount J M & Humphreys T D,Blount J M & Humphreys T D,1996,1,0,0,3.83,0,0,0,0,0,0
1996 - Blount & Charnock,Blount & Charnock,1996,1,0,2.62,0,0,0,0,0,0,0
1996 - Boddy B J & Boddy P J,Boddy B J & Boddy P J,1996,1,0,0,0,0,26.43,0,0,0,0
1996 - Bonin-Casey P & Welsh,Bonin-Casey P & Welsh,1996,3,2.18,2.6,3.78,0,0,0,0,0,0
1996 - Booth S D & Chaple M E,Booth S D & Chaple M E,1996,3,2.65,0,4.77,6.75,0,0,0,0,0
1996 - Booth S D & Chapple M E,Booth S D & Chapple M E,1996,1,0,0,0,0,26.5,0,0,0,0
1996 - Bowles Philip & Richardson David,Bowles Philip & Richardson David,1996,4,2.05,2.62,3.77,5.87,0,0,0,0,0
1996 - Boxall,Boxall,1996,1,0,0,4.5,0,0,0,0,0,0
1996 - Bray Peter D J,Bray Peter D J,1996,1,0,0,3.83,0,0,0,0,0,0
1996 - Bray Peter D J & MacDonald S,Bray Peter D J & MacDonald S,1996,1,0,0,0,0,71,0,0,0,0
1996 - Bray Peter D J & McDowell S,Bray Peter D J & McDowell S,1996,1,2.48,0,0,0,0,0,0,0,0
1996 - Briggs J M & Skipworth P H,Briggs J M & Skipworth P H,1996,1,0,0,0,0,25.13,0,0,0,0
1996 - Briggs & Meadows,Briggs & Meadows,1996,1,0,0,4.12,0,0,0,0,0,0
1996 - Bristow,Bristow,1996,2,3.08,0,5.28,0,0,0,0,0,0
1996 - Brough Heather,Brough Heather,1996,1,0,0,3.85,0,0,0,0,0,0
1996 - Brown C & Fox N,Brown C & Fox N,1996,3,0,3.4,4.75,0,28.1,0,0,0,0
1996 - Brown D I & Sharman M,Brown D I & Sharman M,1996,1,0,0,0,0,0,23.63,0,0,0
1996 - Brown M H & Wiltshire M,Brown M H & Wiltshire M,1996,1,0,2.73,0,0,0,0,0,0,0
1996 - Brown M J & Wiltshire M,Brown M J & Wiltshire M,1996,2,2.18,0,0,0,24.15,0,0,0,0
1996 - Brown R & McNeil D,Brown R & McNeil D,1996,1,0,0,0,0,28.15,0,0,0,0
1996 - Brown & Turner,Brown & Turner,1996,4,2.67,3.23,4.55,7.08,0,0,0,0,0
1996 - Browning C & McCarthy T,Browning C & McCarthy T,1996,1,0,0,0,0,24.82,0,0,0,0
1996 - Buczkiewicz Katie Jane & Holdsworth Kimberley Anne,Buczkiewicz Katie Jane & Holdsworth Kimberley Anne,1996,3,0,0,5.55,8.2,0,24.07,0,0,0
1996 - Budge Helen Suzanne & Tetlow Chloe Louisa,Budge Helen Suzanne & Tetlow Chloe Louisa,1996,1,0,0,0,0,0,24.92,0,0,0
1996 - Burbridge Peter & Webb,Burbridge Peter & Webb,1996,3,1.88,2.35,3.35,0,0,0,0,0,0
1996 - Burbridge Peter & Webb A M,Burbridge Peter & Webb A M,1996,1,0,0,0,0,0,16.97,0,0,0
1996 - Burgoyne A,Burgoyne A,1996,1,0,2.87,0,0,0,0,0,0,0
1996 - Burgoyne A & Hughes,Burgoyne A & Hughes,1996,1,2.38,0,0,0,0,0,0,0,0
1996 - Burrows,Burrows,1996,1,2.1,0,0,0,0,0,0,0,0
1996 - Bush Lisa Mary & Davey P B,Bush Lisa Mary & Davey P B,1996,1,0,0,0,0,0,27.08,0,0,0
1996 - Bushell R D,Bushell R D,1996,1,1.8,0,0,0,0,0,0,0,0
1996 - Butler,Butler,1996,1,0,2.3,0,0,0,0,0,0,0
1996 - Butler G J,Butler G J,1996,1,0,0,0,0,0,0,0,0,16.08
1996 - Cambley & Carabley,Cambley & Carabley,1996,1,0,3.2,0,0,0,0,0,0,0
1996 - Cameron Chris & Watcyn-Jones Ben,Cameron Chris & Watcyn-Jones Ben,1996,1,0,0,0,0,0,24.58,0,0,0
1996 - Camozzi L S & Smith,Camozzi L S & Smith,1996,4,2.95,3.02,4.2,6.6,0,0,0,0,0
1996 - Camozzi L S & Welsh R J,Camozzi L S & Welsh R J,1996,1,0,0,0,0,21.97,0,0,0,0
1996 - Campbell Robert H,Campbell Robert H,1996,1,0,0,0,0,0,0,0,0,26.95
1996 - Campbell & Harper D,Campbell & Harper D,1996,2,2.73,3.53,0,0,0,0,0,0,0
1996 - Cane-Honeysett N D,Cane-Honeysett N D,1996,1,0,3,0,0,0,0,0,0,0
1996 - Carter,Carter,1996,3,2.32,2.95,4.38,0,0,0,0,0,0
1996 - Carter & McDonnell,Carter & McDonnell,1996,1,0,0,3.78,0,0,0,0,0,0
1996 - Challacombe S & Haynes,Challacombe S & Haynes,1996,1,1.92,0,0,0,0,0,0,0,0
1996 - Chambers & Nicholls,Chambers & Nicholls,1996,1,2.95,0,0,0,0,0,0,0,0
1996 - Chance & Simons,Chance & Simons,1996,3,2.5,3.25,4.5,0,0,0,0,0,0
1996 - Chapman A J,Chapman A J,1996,2,2.03,0,0,0,0,0,0,0,17.97
1996 - Charnock R & Player J,Charnock R & Player J,1996,2,0,0,3.7,5.77,0,0,0,0,0
1996 - Chittock J J & Chittock J M,Chittock J J & Chittock J M,1996,1,0,0,0,0,0,0,0,25.23,0
1996 - Clack G J & Prendergast Tania,Clack G J & Prendergast Tania,1996,1,0,0,0,0,23.95,0,0,0,0
1996 - Clack & Prendergast Tania,Clack & Prendergast Tania,1996,3,2.18,2.73,3.98,0,0,0,0,0,0
1996 - Clark,Clark,1996,3,5.03,2.87,0,0,0,0,0,0,0
1996 - Clark J P & Tripp M,Clark J P & Tripp M,1996,1,0,0,0,0,36.78,0,0,0,0
1996 - Clark T A & Simmonds P P,Clark T A & Simmonds P P,1996,3,0,0,3.57,5.75,22.32,0,0,0,0
1996 - Clark & Tripp,Clark & Tripp,1996,3,3,0,5.37,8.4,0,0,0,0,0
1996 - Clements V & Raymond M,Clements V & Raymond M,1996,1,0,0,0,0,50.17,0,0,0,0
1996 - Cnapman,Cnapman,1996,1,0,0,3.62,0,0,0,0,0,0
1996 - Cole D M & Dobson A S C,Cole D M & Dobson A S C,1996,2,2.73,0,0,0,0,24.35,0,0,0
1996 - Cole & Williams,Cole & Williams,1996,3,2.4,0,4.33,6.55,0,0,0,0,0
1996 - Coleman A P & Wibrew Michael,Coleman A P & Wibrew Michael,1996,1,0,0,0,0,18.97,0,0,0,0
1996 - Coleman Andrew & Wibrew Michael,Coleman Andrew & Wibrew Michael,1996,4,1.88,2.33,3.27,5.25,0,0,0,0,0
1996 - Collett A F,Collett A F,1996,1,0,0,0,0,0,0,0,0,22.13
1996 - Conduit & Hands E W,Conduit & Hands E W,1996,1,2.58,0,0,0,0,0,0,0,0
1996 - Cook D P & Ford G R,Cook D P & Ford G R,1996,1,0,0,0,0,35.23,0,0,0,0
1996 - Cooke Ciaran & Nolan C,Cooke Ciaran & Nolan C,1996,1,0,0,0,0,20.62,0,0,0,0
1996 - Cookson W O & Trevan C L,Cookson W O & Trevan C L,1996,2,0,0,4.58,0,0,23.92,0,0,0
1996 - Cooper C R & Cooper G S,Cooper C R & Cooper G S,1996,1,0,0,0,0,0,0,0,23.12,0
1996 - Cooper & Cooper,Cooper & Cooper,1996,3,2.68,0,4.83,7.98,0,0,0,0,0
1996 - Coplestone D H & Pilgrim S,Coplestone D H & Pilgrim S,1996,1,0,0,0,0,0,19.63,0,0,0
1996 - Corney & Line R J,Corney & Line R J,1996,3,2.45,2.92,4.38,0,0,0,0,0,0
1996 - Cornwell I & Logie P,Cornwell I & Logie P,1996,1,0,0,0,0,0,22.45,0,0,0
1996 - Corps M & Gilbert-Johns,Corps M & Gilbert-Johns,1996,2,2.35,2.95,0,0,0,0,0,0,0
1996 - Coryton & Crowley,Coryton & Crowley,1996,1,2.73,0,0,0,0,0,0,0,0
1996 - Cosh A M & Desmond,Cosh A M & Desmond,1996,1,0,2.73,0,0,0,0,0,0,0
1996 - Cosh A M & Sanders Keith,Cosh A M & Sanders Keith,1996,4,2.02,0,3.48,5.58,20.52,0,0,0,0
1996 - Cox & Hutchinson,Cox & Hutchinson,1996,1,2.82,0,0,0,0,0,0,0,0
1996 - Cox & Williams,Cox & Williams,1996,2,1.77,2.17,0,0,0,0,0,0,0
1996 - Cran A & Farren,Cran A & Farren,1996,3,2.4,3.05,4.43,0,0,0,0,0,0
1996 - Cran A & Farren T,Cran A & Farren T,1996,1,0,0,0,0,0,20.52,0,0,0
1996 - Crawford,Crawford,1996,1,0,2.73,0,0,0,0,0,0,0
1996 - Crawford & Greaves,Crawford & Greaves,1996,1,1.88,0,0,0,0,0,0,0,0
1996 - Cronk,Cronk,1996,2,2.02,2.6,0,0,0,0,0,0,0
1996 - Crowther & Love,Crowther & Love,1996,1,2.15,0,0,0,0,0,0,0,0
1996 - Crowther & Taylor,Crowther & Taylor,1996,1,2.22,0,0,0,0,0,0,0,0
1996 - Dando,Dando,1996,2,0,3.17,4.25,0,0,0,0,0,0
1996 - Dando Paul & Prout Stephen,Dando Paul & Prout Stephen,1996,1,0,0,0,0,0,0,0,20.45,0
1996 - Daniels Nick & Lester Wiktoria,Daniels Nick & Lester Wiktoria,1996,2,2.05,2.68,0,0,0,0,0,0,0
1996 - Dark Simon & Lander,Dark Simon & Lander,1996,4,2.35,2.92,4.32,6.97,0,0,0,0,0
1996 - Dark Simon & Slater,Dark Simon & Slater,1996,2,1.65,0,2.88,0,0,0,0,0,0
1996 - Davidson C J & Davies S,Davidson C J & Davies S,1996,1,0,0,0,0,26.42,0,0,0,0
1996 - Davidson & Davies,Davidson & Davies,1996,1,0,0,4.62,0,0,0,0,0,0
1996 - Davies,Davies,1996,3,2.35,3,4.07,0,0,0,0,0,0
1996 - Davies R & Hetherington Phillip,Davies R & Hetherington Phillip,1996,1,0,0,0,0,32.52,0,0,0,0
1996 - Davies & Goodey,Davies & Goodey,1996,3,2.25,2.78,0,6.33,0,0,0,0,0
1996 - Davies & Hetherington Jonathan,Davies & Hetherington Jonathan,1996,3,2.72,3.22,0,7.38,0,0,0,0,0
1996 - Davis G A & Mullineaux Helen,Davis G A & Mullineaux Helen,1996,1,2.37,0,0,0,0,0,0,0,0
1996 - Day & Stoy Hannah Jane,Day & Stoy Hannah Jane,1996,1,3.23,0,0,0,0,0,0,0,0
1996 - Dennis K & Goodchild Gillian L,Dennis K & Goodchild Gillian L,1996,1,0,0,0,0,26.78,0,0,0,0
1996 - Dennis S W & Fairclough S D,Dennis S W & Fairclough S D,1996,1,0,0,0,0,0,25.95,0,0,0
1996 - Derry M,Derry M,1996,1,0,0,0,0,0,0,0,0,26.63
1996 - Desmond,Desmond,1996,1,2.92,0,0,0,0,0,0,0,0
1996 - Desmond & Thompson,Desmond & Thompson,1996,2,2.83,3.63,0,0,0,0,0,0,0
1996 - Dewitte B & Houttekiet P A,Dewitte B & Houttekiet P A,1996,1,0,0,0,0,18,0,0,0,0
1996 - Dixon P J & Hewett E,Dixon P J & Hewett E,1996,1,0,0,0,0,27.13,0,0,0,0
1996 - Dobner R J & Field T W,Dobner R J & Field T W,1996,1,0,0,0,0,0,22.1,0,0,0
1996 - Dodson W & Read M,Dodson W & Read M,1996,3,2.58,0,4.33,0,0,21.52,0,0,0
1996 - Dooley M T & Mills M R,Dooley M T & Mills M R,1996,1,0,0,0,0,24.45,0,0,0,0
1996 - Dormer J & Wood M,Dormer J & Wood M,1996,5,2.32,2.88,4.2,6.37,0,20.25,0,0,0
1996 - Dove Peter & Paton R,Dove Peter & Paton R,1996,5,2.35,2.88,4.18,6.42,0,20.28,0,0,0
1996 - Driscoll R J & Evans K M,Driscoll R J & Evans K M,1996,3,0,0,4.4,6.45,0,20.98,0,0,0
1996 - Drury Emma Jane & Sinnett-Jones M J,Drury Emma Jane & Sinnett-Jones M J,1996,1,0,0,0,0,0,21.93,0,0,0
1996 - Dudley & Jones,Dudley & Jones,1996,1,0,0,4.32,0,0,0,0,0,0
1996 - Dudley & Lowe,Dudley & Lowe,1996,1,0,0,0,6.12,0,0,0,0,0
1996 - Dummett N E & Rowe T J,Dummett N E & Rowe T J,1996,1,0,0,0,0,0,0,0,19.7,0
1996 - Dummett & Rowe,Dummett & Rowe,1996,1,2.23,0,0,0,0,0,0,0,0
1996 - Dunn Stuart,Dunn Stuart,1996,1,1.93,0,0,0,0,0,0,0,0
1996 - Dutton S & Gillen L,Dutton S & Gillen L,1996,1,0,0,0,0,0,24.37,0,0,0
1996 - Dyer O E & Dyer P E,Dyer O E & Dyer P E,1996,2,0,0,4.22,0,23.92,0,0,0,0
1996 - Eastham & Potter,Eastham & Potter,1996,3,2.57,3.17,0,6.4,0,0,0,0,0
1996 - Edwards & Edwards Roger,Edwards & Edwards Roger,1996,3,2.43,0,4.28,6.77,0,0,0,0,0
1996 - Edwards & Surrage Vicky,Edwards & Surrage Vicky,1996,1,2.5,0,0,0,0,0,0,0,0
1996 - Emery Mark & Sporle J A,Emery Mark & Sporle J A,1996,2,2.48,0,0,0,28.07,0,0,0,0
1996 - Enoch,Enoch,1996,2,0,2.65,3.42,0,0,0,0,0,0
1996 - Enoch Matthew,Enoch Matthew,1996,1,0,0,0,0,0,0,0,0,18.17
1996 - Enoch Paul,Enoch Paul,1996,3,0,2.4,3.42,0,0,0,0,0,17.33
1996 - Enthoven & Starkey Malcolm,Enthoven & Starkey Malcolm,1996,1,0,2.2,0,0,0,0,0,0,0
1996 - Enwright & Smith,Enwright & Smith,1996,3,1.77,2.18,3.22,0,0,0,0,0,0
1996 - Escott John & Noakes Chris,Escott John & Noakes Chris,1996,1,1.9,0,0,0,0,0,0,0,0
1996 - Escott & Noakes Chris,Escott & Noakes Chris,1996,3,0,2.35,3.28,5.15,0,0,0,0,0
1996 - Evans D M & Potts D J,Evans D M & Potts D J,1996,1,0,0,0,0,24.05,0,0,0,0
1996 - Evans & Potts David,Evans & Potts David,1996,4,2.03,2.57,3.82,6.03,0,0,0,0,0
1996 - Evans & Rodgers,Evans & Rodgers,1996,1,0,0,4.37,0,0,0,0,0,0
1996 - Fanning B & O'Meara Michael,Fanning B & O'Meara Michael,1996,2,0,2.33,0,0,18.83,0,0,0,0
1996 - Farmer & Prout Stephen,Farmer & Prout Stephen,1996,2,2.35,3.05,0,0,0,0,0,0,0
1996 - Farrall R & Skinner Sheila,Farrall R & Skinner Sheila,1996,1,0,0,0,0,28.45,0,0,0,0
1996 - Feichtinger J,Feichtinger J,1996,1,0,0,0,0,0,0,0,0,17.48
1996 - Fell G & Green M J W,Fell G & Green M J W,1996,2,0,2.93,0,0,25.4,0,0,0,0
1996 - Ferry John & Harkin J,Ferry John & Harkin J,1996,1,0,0,0,0,38.93,0,0,0,0
1996 - Fielden Paul & Lincoln B J,Fielden Paul & Lincoln B J,1996,5,1.88,2.42,3.4,5.22,19.1,0,0,0,0
1996 - Fitzpatrick Paul,Fitzpatrick Paul,1996,1,2.38,0,0,0,0,0,0,0,0
1996 - Fitzpatrick Paul & Julier,Fitzpatrick Paul & Julier,1996,2,0,3,0,6.25,0,0,0,0,0
1996 - Fletcher Andy & Whitlock,Fletcher Andy & Whitlock,1996,4,1.95,2.52,3.37,5.4,0,0,0,0,0
1996 - Fletcher Andy & Whitlock B,Fletcher Andy & Whitlock B,1996,1,0,0,0,0,19.3,0,0,0,0
1996 - Flexman O & Palmer R J,Flexman O & Palmer R J,1996,1,0,0,0,0,0,25.98,0,0,0
1996 - Fone J W & Lloyd D Z,Fone J W & Lloyd D Z,1996,1,0,0,0,0,0,23.57,0,0,0
1996 - Fone & Lloyd D Z,Fone & Lloyd D Z,1996,3,2.6,0,4.92,7.65,0,0,0,0,0
1996 - Ford D N & Knight Andrew,Ford D N & Knight Andrew,1996,2,2.2,0,3.95,0,0,0,0,0,0
1996 - Freeland J P B & Hutchison M C,Freeland J P B & Hutchison M C,1996,1,0,0,0,0,36.65,0,0,0,0
1996 - Freer,Freer,1996,2,2.28,2.85,0,0,0,0,0,0,0
1996 - Fudger & Gandy Brian,Fudger & Gandy Brian,1996,2,1.92,2.45,0,0,0,0,0,0,0
1996 - Fudger & Vater,Fudger & Vater,1996,1,0,0,4.47,0,0,0,0,0,0
1996 - Fuller & Lincoln K J,Fuller & Lincoln K J,1996,3,2.78,3.15,0,7.38,0,0,0,0,0
1996 - Gallop,Gallop,1996,2,2.67,0,4.68,0,0,0,0,0,0
1996 - Gallop & Gallop,Gallop & Gallop,1996,1,0,2.93,0,0,0,0,0,0,0
1996 - Gallup,Gallup,1996,1,2.87,0,0,0,0,0,0,0,0
1996 - Garner & McDonnell,Garner & McDonnell,1996,1,2.18,0,0,0,0,0,0,0,0
1996 - Gaskin Lynda Joan & Henzell Sarah,Gaskin Lynda Joan & Henzell Sarah,1996,3,3.43,4.38,0,0,72.45,0,0,0,0
1996 - Gibbens W S,Gibbens W S,1996,1,0,0,0,0,0,0,0,0,28.92
1996 - Gloster Martin & Vater Amber,Gloster Martin & Vater Amber,1996,1,2.83,0,0,0,0,0,0,0,0
1996 - Gloster Martin & Vater Mike,Gloster Martin & Vater Mike,1996,5,2.2,2.73,3.93,6.35,26.25,0,0,0,0
1996 - Glover D M & Norman M,Glover D M & Norman M,1996,2,0,0,0,6.68,24.78,0,0,0,0
1996 - Goodall F J,Goodall F J,1996,1,0,0,0,0,0,0,0,0,18.9
1996 - Goode S D & Roxbouorgh T J,Goode S D & Roxbouorgh T J,1996,1,0,0,0,0,0,19.52,0,0,0
1996 - Goode & Roxbouorgh T J,Goode & Roxbouorgh T J,1996,2,0,0,4.05,6.33,0,0,0,0,0
1996 - Gow Clifford,Gow Clifford,1996,3,2.05,2.58,3.68,0,0,0,0,0,0
1996 - Gradwell Charmian & Troop,Gradwell Charmian & Troop,1996,1,0,0,3.77,0,0,0,0,0,0
1996 - Greaves,Greaves,1996,1,0,0,3.48,0,0,0,0,0,0
1996 - Greaves D P,Greaves D P,1996,1,0,0,0,0,0,0,0,0,18.73
1996 - Greaves Mark,Greaves Mark,1996,1,0,0,0,0,0,0,0,0,17.25
1996 - Greaves & Woodhead,Greaves & Woodhead,1996,1,0,0,3.57,0,0,0,0,0,0
1996 - Green,Green,1996,4,5.02,2.98,4.72,0,0,0,0,0,0
1996 - Green Sarah,Green Sarah,1996,1,0,0,0,0,0,0,0,0,23.33
1996 - Greenham Brian & McWilliam Katy,Greenham Brian & McWilliam Katy,1996,5,2.12,2.63,3.83,5.83,0,0,0,18.27,0
1996 - Greensmith,Greensmith,1996,1,2.12,0,0,0,0,0,0,0,0
1996 - Greensraith,Greensraith,1996,1,0,0,3.5,0,0,0,0,0,0
1996 - Grewcock I P & Martin,Grewcock I P & Martin,1996,4,2.12,2.57,4.15,5.77,0,0,0,0,0
1996 - Grimwood Andrew,Grimwood Andrew,1996,2,1.95,2.38,0,0,0,0,0,0,0
1996 - Hakes & King,Hakes & King,1996,1,0,0,0,6.03,0,0,0,0,0
1996 - Haley K J & Montague R,Haley K J & Montague R,1996,1,0,0,0,0,37.25,0,0,0,0
1996 - Hall,Hall,1996,3,2.05,2.68,3.77,0,0,0,0,0,0
1996 - Hallam David,Hallam David,1996,3,1.78,0,3.1,0,0,0,0,0,16.38
1996 - Hamilton R & Kennedy J P,Hamilton R & Kennedy J P,1996,1,0,0,0,0,40.72,0,0,0,0
1996 - Hands E W,Hands E W,1996,1,0,0,3.78,0,0,0,0,0,0
1996 - Harper D & Turner W,Harper D & Turner W,1996,1,0,0,0,0,0,25.05,0,0,0
1996 - Harris Peter & Rogers J P R,Harris Peter & Rogers J P R,1996,5,2.28,2.85,4.15,6.48,33.9,0,0,0,0
1996 - Hawkins David,Hawkins David,1996,2,0,3.67,0,0,0,0,0,0,26.03
1996 - Hawkins John,Hawkins John,1996,1,0,0,3.98,0,0,0,0,0,0
1996 - Hawks & King,Hawks & King,1996,1,0,0,3.9,0,0,0,0,0,0
1996 - Hayden John W,Hayden John W,1996,5,2.08,2.6,3.55,5.58,0,0,0,0,17.92
1996 - Hayes I & Watters L,Hayes I & Watters L,1996,1,0,0,0,0,36.65,0,0,0,0
1996 - Hearne C L & Hearne M E C,Hearne C L & Hearne M E C,1996,1,0,0,0,0,0,0,0,22.3,0
1996 - Heath Roger & Northam Yvonne,Heath Roger & Northam Yvonne,1996,2,2.42,0,0,0,36.65,0,0,0,0
1996 - Heath & Wrobel,Heath & Wrobel,1996,1,0,0,4.47,0,0,0,0,0,0
1996 - Helliar G & Snell R,Helliar G & Snell R,1996,1,0,0,0,0,36.63,0,0,0,0
1996 - Helliar & Snell,Helliar & Snell,1996,4,2.93,3.83,4.42,8.58,0,0,0,0,0
1996 - Henderson S I & Webb P A,Henderson S I & Webb P A,1996,1,0,0,0,0,30.48,0,0,0,0
1996 - Herbert M J & Short M,Herbert M J & Short M,1996,5,2.12,2.63,3.8,5.8,21.8,0,0,0,0
1996 - Hewitt K P & Tomes M,Hewitt K P & Tomes M,1996,1,0,0,0,0,0,24.9,0,0,0
1996 - Hewitt & Tomes M,Hewitt & Tomes M,1996,2,0,0,5.27,8.72,0,0,0,0,0
1996 - Hinds,Hinds,1996,1,2.27,0,0,0,0,0,0,0,0
1996 - Hinves James & Lindley,Hinves James & Lindley,1996,2,0,3.08,4.27,0,0,0,0,0,0
1996 - Holdsworthy Kimberley Anne,Holdsworthy Kimberley Anne,1996,1,0,0,3.92,0,0,0,0,0,0
1996 - Holyoake Claire Nicola & Wagstaff MartINe,Holyoake Claire Nicola & Wagstaff MartINe,1996,1,0,0,0,0,0,26.2,0,0,0
1996 - Holyoake M D & Wagstaff,Holyoake M D & Wagstaff,1996,1,0,0,5.23,0,0,0,0,0,0
1996 - Honaker S P & Thorpe,Honaker S P & Thorpe,1996,3,2.23,2.87,4.17,0,0,0,0,0,0
1996 - Hooley,Hooley,1996,1,2.15,0,0,0,0,0,0,0,0
1996 - Hopkinson & Matthews,Hopkinson & Matthews,1996,1,0,0,0,7.88,0,0,0,0,0
1996 - House J & Russell J,House J & Russell J,1996,1,0,0,0,0,0,24.77,0,0,0
1996 - Howe,Howe,1996,1,0,0,4.22,0,0,0,0,0,0
1996 - Howells J & Metcalfe J,Howells J & Metcalfe J,1996,1,0,0,0,0,50.53,0,0,0,0
1996 - Humphreys P & Stuart Peter,Humphreys P & Stuart Peter,1996,1,0,0,0,0,25.05,0,0,0,0
1996 - Humphreys T D & Player J,Humphreys T D & Player J,1996,1,0,2.75,0,0,0,0,0,0,0
1996 - Humphreys & Stuart,Humphreys & Stuart,1996,1,0,0,0,7.03,0,0,0,0,0
1996 - Hutchings P & Quinton Stuart,Hutchings P & Quinton Stuart,1996,1,2,0,0,0,0,0,0,0,0
1996 - Hutchinson & Tranter,Hutchinson & Tranter,1996,4,2.17,2.7,3.82,6.08,0,0,0,0,0
1996 - Hyde J & Weaver P H,Hyde J & Weaver P H,1996,1,2.02,0,0,0,0,0,0,0,0
1996 - Hynds,Hynds,1996,2,1.85,0,3.98,0,0,0,0,0,0
1996 - Hynds & Hynds,Hynds & Hynds,1996,1,0,2.3,0,0,0,0,0,0,0
1996 - Hynds & Hynds Claire,Hynds & Hynds Claire,1996,1,2.72,0,0,0,0,0,0,0,0
1996 - Hynes S M,Hynes S M,1996,1,0,0,0,0,0,0,0,0,17.1
1996 - Ince A J,Ince A J,1996,3,0,3.03,4.25,6.88,0,0,0,0,0
1996 - Ives T E & Lyle I C,Ives T E & Lyle I C,1996,1,0,0,0,0,36.52,0,0,0,0
1996 - Jeyatheva & Pennell S C,Jeyatheva & Pennell S C,1996,3,2.72,0,4.65,7.5,0,0,0,0,0
1996 - Jones & Lyons,Jones & Lyons,1996,4,2.12,2.68,3.88,6.02,0,0,0,0,0
1996 - Jones & Morris,Jones & Morris,1996,1,0,0,4.3,0,0,0,0,0,0
1996 - Jones & Morris Antony,Jones & Morris Antony,1996,3,2.38,2.92,0,6.8,0,0,0,0,0
1996 - Jones & Watkins,Jones & Watkins,1996,1,1.7,0,0,0,0,0,0,0,0
1996 - Kakes R E & King W R C,Kakes R E & King W R C,1996,1,0,0,0,0,23.05,0,0,0,0
1996 - Keane Darrel & Meadows G E,Keane Darrel & Meadows G E,1996,1,0,0,0,0,0,20.1,0,0,0
1996 - Keane S J & Smedley C I B,Keane S J & Smedley C I B,1996,1,0,0,3.83,0,0,0,0,0,0
1996 - Kent Richard,Kent Richard,1996,2,0,2.48,3.43,0,0,0,0,0,0
1996 - Kenyon R & Ovington K,Kenyon R & Ovington K,1996,1,0,0,0,0,50.35,0,0,0,0
1996 - Keyatheva D & Pennell S C,Keyatheva D & Pennell S C,1996,1,0,0,0,0,49.47,0,0,0,0
1996 - Kirkaldy J S G & Reader Nicola Sian,Kirkaldy J S G & Reader Nicola Sian,1996,1,0,0,0,0,0,26.25,0,0,0
1996 - Knowles,Knowles,1996,3,2.12,2.83,3.85,0,0,0,0,0,0
1996 - Labbett & Musson,Labbett & Musson,1996,1,0,2.72,0,0,0,0,0,0,0
1996 - Lacy C A & Maxwell C G,Lacy C A & Maxwell C G,1996,1,0,0,0,0,0,24.6,0,0,0
1996 - Laine R K,Laine R K,1996,1,0,0,0,0,0,0,0,0,23.38
1996 - Lambley,Lambley,1996,3,2.87,0,0,17.23,0,0,0,0,0
1996 - Lambley Judy,Lambley Judy,1996,1,0,0,0,0,0,0,0,0,28.03
1996 - Lee A E B & Munt M P R,Lee A E B & Munt M P R,1996,3,0,0,4.77,7.85,0,24.42,0,0,0
1996 - Lemin Jim,Lemin Jim,1996,1,0,0,0,0,0,0,0,0,20.45
1996 - Lemin & Reese,Lemin & Reese,1996,1,0,2.67,0,0,0,0,0,0,0
1996 - Levison & Pearce Mark S,Levison & Pearce Mark S,1996,3,1.9,2.37,3.48,0,0,0,0,0,0
1996 - Lewis C F M & Tandy Ted,Lewis C F M & Tandy Ted,1996,1,0,0,0,0,22.42,0,0,0,0
1996 - Lewis Richard,Lewis Richard,1996,1,1.8,0,0,0,0,0,0,0,0
1996 - Lewis Richard & Phillips Mark C,Lewis Richard & Phillips Mark C,1996,1,0,0,0,0,17.95,0,0,0,0
1996 - Lewis & Phillips,Lewis & Phillips,1996,2,0,2.15,3.02,0,0,0,0,0,0
1996 - Light R G & Maidment A P,Light R G & Maidment A P,1996,5,2.37,2.9,4.08,6.52,24.35,0,0,0,0
