 ,Name,Year,Races,WatersideA,WatersideB,WatersideC,WatersideD,DWSenior,DWJunior,DWEndeavour,DWVetJunior,DWSingles
1990 - Bell Roger & Stanway P,Bell Roger & Stanway P,1990,2,2.35,3.3,0,0,0,0,0,0,0
1990 - Bell Sandra Jane & Starling J A,Bell Sandra Jane & Starling J A,1990,5,2.48,3.4,4.12,6.97,25.32,0,0,0,0
1990 - Benson A & Cloke T,Benson A & Cloke T,1990,4,2.78,4.12,4.68,7.97,0,0,0,0,0
1990 - Berry J P & Keeton A G,Berry J P & Keeton A G,1990,1,0,0,0,0,0,21.68,0,0,0
1990 - Bevan G,Bevan G,1990,1,2.43,0,0,0,0,0,0,0,0
1990 - Bibby S & Saunt B,Bibby S & Saunt B,1990,1,1.9,0,0,0,0,0,0,0,0
1990 - Birch G J & Marshall A S,Birch G J & Marshall A S,1990,1,0,0,0,0,0,27.9,0,0,0
1990 - Birt R L & Poole H J,Birt R L & Poole H J,1990,1,0,0,0,0,37.8,0,0,0,0
1990 - Black A G & Crompton D E,Black A G & Crompton D E,1990,1,0,0,0,0,21.68,0,0,0,0
1990 - Blake M & Villet D,Blake M & Villet D,1990,1,0,0,0,0,0,21.92,0,0,0
1990 - Bland Rachel & Green A,Bland Rachel & Green A,1990,1,2.32,0,0,0,0,0,0,0,0
1990 - Blatchly A Mark,Blatchly A Mark,1990,5,2.17,3,3.62,5.7,0,0,0,0,18.67
1990 - Block W & Demery D B,Block W & Demery D B,1990,3,2.32,0,0,6.63,24.88,0,0,0,0
1990 - Blount J M,Blount J M,1990,5,2.25,3.02,3.55,5.72,0,0,0,0,18.75
1990 - Blyth D,Blyth D,1990,5,1.7,2.43,3.08,4.85,0,0,0,0,16.18
1990 - Boarer M & Kemp G J,Boarer M & Kemp G J,1990,1,0,0,0,0,24.27,0,0,0,0
1990 - Boddy B & Boddy C,Boddy B & Boddy C,1990,1,0,4.42,0,0,0,0,0,0,0
1990 - Boddy C & Boddy P,Boddy C & Boddy P,1990,1,3.52,0,0,0,0,0,0,0,0
1990 - Bond P,Bond P,1990,1,0,3.3,0,0,0,0,0,0,0
1990 - Booles K,Booles K,1990,3,2.43,0,3.87,6.02,0,0,0,0,0
1990 - Booles K L & K1 Single,Booles K L & K1 Single,1990,1,0,0,0,0,22.33,0,0,0,0
1990 - Boonstra G & Windt T,Boonstra G & Windt T,1990,1,0,0,0,0,19.12,0,0,0,0
1990 - Booth C G & Duffy I,Booth C G & Duffy I,1990,1,0,0,0,0,0,21.6,0,0,0
1990 - Bostoen N & Houttekiet P A,Bostoen N & Houttekiet P A,1990,1,0,0,0,0,19.72,0,0,0,0
1990 - Bottrill L M & Broomfield T,Bottrill L M & Broomfield T,1990,1,0,0,0,0,0,0,0,20.18,0
1990 - Bowker I H & Dalziel B,Bowker I H & Dalziel B,1990,1,2.4,0,0,0,0,0,0,0,0
1990 - Bowker I H & Gray Susan,Bowker I H & Gray Susan,1990,3,0,3.2,3.95,6.25,0,0,0,0,0
1990 - Bradbom A,Bradbom A,1990,1,2.22,0,0,0,0,0,0,0,0
1990 - Bray A & Reed C,Bray A & Reed C,1990,3,2.35,0,4.07,6.63,0,0,0,0,0
1990 - Bray Peter D J,Bray Peter D J,1990,1,0,0,0,0,0,0,0,0,22.57
1990 - Brignell K D & Thomdyke T J,Brignell K D & Thomdyke T J,1990,1,0,0,0,0,49.88,0,0,0,0
1990 - Brigstock K P & Mandry L A,Brigstock K P & Mandry L A,1990,1,0,0,0,0,37.13,0,0,0,0
1990 - Brock P & Goodall M,Brock P & Goodall M,1990,2,2.32,3.2,0,0,0,0,0,0,0
1990 - Brookes J M & Pearson S R,Brookes J M & Pearson S R,1990,5,1.98,2.62,3.35,5.35,21.97,0,0,0,0
1990 - Broomfield T,Broomfield T,1990,2,2.32,0,3.83,0,0,0,0,0,0
1990 - Brown A,Brown A,1990,1,2.68,0,0,0,0,0,0,0,0
1990 - Bryan T J & Hany M,Bryan T J & Hany M,1990,2,2.22,2.82,0,0,0,0,0,0,0
1990 - Bryce K & Kinninmonth Margaret,Bryce K & Kinninmonth Margaret,1990,2,1.95,0,0,5.27,0,0,0,0,0
1990 - Bull C & Stowell M,Bull C & Stowell M,1990,5,2.4,3.35,4.18,7.68,30.77,0,0,0,0
1990 - Bull M & Enoch Matthew,Bull M & Enoch Matthew,1990,1,2.38,0,0,0,0,0,0,0,0
1990 - Burton M & Conroy M,Burton M & Conroy M,1990,1,0,0,0,0,27.47,0,0,0,0
1990 - Bushell A R & Turner R A E,Bushell A R & Turner R A E,1990,1,0,0,0,0,23.98,0,0,0,0
1990 - Bushell J A & Heath M,Bushell J A & Heath M,1990,1,0,0,0,0,25.83,0,0,0,0
1990 - Bushell M E & Hutchings C J,Bushell M E & Hutchings C J,1990,1,0,0,0,0,23.32,0,0,0,0
