Year,Flow,Start Time,Crew,Distance,Clock,T,Time,CheckPoint,Speed,SplitTimePoint,SplitSpeed,Section,SpeedIncrease
1989,99.1,,WellsWells99.1,108,13:45:00,13.75,13.75,Teddington,7.85,,,,
1978,90.5,Night Run,CornishGreenham90.5,108,14:53:00,14.88,14.88,Teddington,7.26,,,,
1977,80,15:40,GreenawayFowler80,108,14:56:00,14.93,14.93,Teddington,7.23,,,,
1981,70.2,14:22:08,GreenhamBelcher70.2,108,15:23:00,15.38,15.38,Teddington,7.02,,,,
1984,28.1,7am,CornishViljoen28.1,108,15:13:00,15.22,15.22,Teddington,7.1,,,,
2011,23,Sun 07:19:00,LawlerBrown23,108,00:00:00,0,,Teddington,,,,,
2011,23,Sat 18:04:50,KingHendron23,108,15:52:50,15.88,15.88,Teddington,6.8,,,,
2017,20,15:14:57,KingButler20,108,15:27:21,15.46,15.46,Teddington,6.99,,,,
2000,229,05:51,BakerCapps229,125,15:17:00,15.28,15.28,Westminster,8.18,,,,
1975,205,Night Run,GreenhamPerrett205,125,17:52:00,17.87,17.87,Westminster,7,,,,
1979,187,7am,CornishGreenham187,125,15:34:00,15.57,15.57,Westminster,8.03,,,,
1980,158,7.17am,CornishGreenham158,125,16:15:00,16.25,16.25,Westminster,7.69,,,,
1994,155,7.08am,PhillipsLewis155,125,15:43:00,15.72,15.72,Westminster,7.95,,,,
1989,99.1,,WellsWells99.1,125,15:39:00,15.65,15.65,Westminster,7.99,,,,
1978,90.5,Night Run,CornishGreenham90.5,125,16:51:00,16.85,16.85,Westminster,7.42,,,,
1977,80,15:40,GreenawayFowler80,125,16:56:00,16.93,16.93,Westminster,7.38,,,,
1981,70.2,14:22:08,GreenhamBelcher70.2,125,17:22:00,17.37,17.37,Westminster,7.2,,,,
1984,28.1,7am,CornishViljoen28.1,125,17:22:00,17.37,17.37,Westminster,7.2,,,,
2011,23,Sun 07:19:00,LawlerBrown23,125,00:00:00,0,,Westminster,,,,,
2011,23,Sat 18:04:50,KingHendron23,125,18:08:06,18.14,18.14,Westminster,6.89,,,,
2017,20,15:14:57,KingButler20,125,17:30:06,17.5,17.5,Westminster,7.14,,,,
